Source: www.abc.org.uk/data Detailed Data Exported: 08/11/2022 12:15:44 
Copyright & Database right – all rights reserved. see www.abc.org.uk/copyright for details
"PERIOD","START DATE","END DATE","TITLE","REGISTRATION STATUS","OWNER","MARKET SECTOR","ISSUES","COVER PRICE","REGION","PLATFORM","CATEGORY/RATE","AVG. PER ISSUE"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Print","Paid Subscriptions - Below 20%","6"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Print","Paid Subscriptions - Full Rate","37"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Print","Paid Subscriptions - Multiple Copy","10"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Print","Free Copies - Regular Net","112"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","Other Countries","Print","Free Copies - Regular Net","3"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Print","Paid Single Copies - Full Rate","8624"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Print","Paid Single Copies - Full Rate","16"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Digital","Paid Single Copies - 20-99%","15"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Digital","Paid Single Copies - 20-99%","11"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Digital","Paid Single Copies - Below 20%","10"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Print","Paid Subscriptions - 20-99%","242"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Digital","Paid Subscriptions - 20-99%","175"
